id,label
1,cat
2,dog
3,cat
4,plane
5,plane
6,cat
7,ship
8,plane
9,cat
10,cat
11,bird
12,ship
13,car
14,ship
15,plane
16,bird
17,bird
18,frog
19,ship
20,car
21,cat
22,cat
23,plane
24,cat
25,cat
26,cat
27,car
28,ship
29,cat
30,plane
31,ship
32,cat
33,cat
34,dog
35,plane
36,cat
37,ship
38,plane
39,plane
40,dog
41,car
42,cat
43,car
44,cat
45,bird
46,bird
47,car
48,frog
49,plane
50,ship
51,frog
52,cat
53,cat
54,car
55,plane
56,cat
57,frog
58,ship
59,plane
60,cat
61,frog
62,frog
63,cat
64,frog
65,ship
66,ship
67,plane
68,ship
69,bird
70,frog
71,cat
72,frog
73,ship
74,plane
75,frog
76,ship
77,plane
78,cat
79,cat
80,car
81,bird
82,ship
83,ship
84,ship
85,frog
86,bird
87,cat
88,plane
89,cat
90,cat
91,plane
92,plane
93,cat
94,ship
95,cat
96,cat
97,car
98,bird
99,dog
100,frog
101,ship
102,ship
103,plane
104,dog
105,ship
106,bird
107,cat
108,ship
109,ship
110,cat
111,frog
112,frog
113,car
114,plane
115,car
116,cat
117,ship
118,ship
119,ship
120,bird
121,frog
122,ship
123,cat
124,plane
125,bird
126,plane
127,plane
128,plane
129,cat
130,car
131,plane
132,ship
133,bird
134,ship
135,ship
136,cat
137,ship
138,frog
139,cat
140,cat
141,frog
142,cat
143,cat
144,ship
145,car
146,frog
147,bird
148,ship
149,plane
150,bird
151,ship
152,cat
153,plane
154,plane
155,ship
156,bird
157,plane
158,plane
159,cat
160,frog
161,ship
162,bird
163,frog
164,cat
165,cat
166,plane
167,bird
168,plane
169,plane
170,car
171,frog
172,plane
173,cat
174,frog
175,frog
176,bird
177,cat
178,car
179,bird
180,ship
181,cat
182,cat
183,frog
184,cat
185,bird
186,ship
187,ship
188,ship
189,car
190,plane
191,plane
192,cat
193,plane
194,plane
195,bird
196,bird
197,cat
198,dog
199,ship
200,plane
201,cat
202,frog
203,ship
204,bird
205,bird
206,plane
207,plane
208,frog
209,cat
210,ship
211,ship
212,ship
213,cat
214,frog
215,cat
216,cat
217,ship
218,plane
219,bird
220,cat
221,frog
222,plane
223,frog
224,bird
225,cat
226,frog
227,cat
228,bird
229,cat
230,plane
231,ship
232,car
233,bird
234,cat
235,bird
236,bird
237,bird
238,cat
239,frog
240,ship
241,cat
242,dog
243,bird
244,ship
245,car
246,ship
247,frog
248,ship
249,plane
250,ship
251,plane
252,plane
253,cat
254,cat
255,ship
256,car
257,bird
258,cat
259,cat
260,bird
261,frog
262,bird
263,ship
264,plane
265,frog
266,bird
267,frog
268,dog
269,car
270,cat
271,ship
272,ship
273,ship
274,frog
275,ship
276,frog
277,cat
278,bird
279,cat
280,frog
281,bird
282,plane
283,ship
284,plane
285,ship
286,cat
287,plane
288,ship
289,bird
290,frog
291,bird
292,cat
293,plane
294,bird
295,plane
296,ship
297,cat
298,plane
299,bird
300,ship
301,plane
302,ship
303,bird
304,cat
305,ship
306,cat
307,ship
308,plane
309,frog
310,cat
311,cat
312,cat
313,dog
314,ship
315,cat
316,ship
317,car
318,ship
319,cat
320,frog
321,plane
322,cat
323,cat
324,cat
325,ship
326,ship
327,plane
328,cat
329,ship
330,ship
331,bird
332,ship
333,bird
334,bird
335,bird
336,ship
337,cat
338,ship
339,plane
340,plane
341,bird
342,cat
343,cat
344,plane
345,cat
346,ship
347,cat
348,bird
349,plane
350,ship
351,frog
352,cat
353,plane
354,car
355,ship
356,cat
357,bird
358,frog
359,plane
360,bird
361,cat
362,bird
363,dog
364,bird
365,bird
366,frog
367,ship
368,car
369,ship
370,bird
371,cat
372,bird
373,ship
374,plane
375,bird
376,plane
377,car
378,bird
379,cat
380,ship
381,cat
382,bird
383,bird
384,cat
385,plane
386,cat
387,ship
388,ship
389,cat
390,ship
391,car
392,frog
393,bird
394,bird
395,cat
396,bird
397,cat
398,bird
399,cat
400,bird
401,car
402,ship
403,ship
404,cat
405,ship
406,plane
407,ship
408,bird
409,ship
410,bird
411,bird
412,ship
413,bird
414,plane
415,cat
416,cat
417,plane
418,cat
419,cat
420,bird
421,frog
422,car
423,cat
424,cat
425,ship
426,plane
427,bird
428,bird
429,ship
430,cat
431,ship
432,cat
433,cat
434,bird
435,bird
436,frog
437,bird
438,ship
439,bird
440,plane
441,ship
442,cat
443,cat
444,frog
445,cat
446,cat
447,frog
448,cat
449,bird
450,plane
451,car
452,cat
453,ship
454,bird
455,bird
456,plane
457,ship
458,cat
459,ship
460,ship
461,cat
462,ship
463,cat
464,cat
465,plane
466,plane
467,frog
468,bird
469,car
470,cat
471,plane
472,bird
473,frog
474,ship
475,plane
476,ship
477,cat
478,cat
479,bird
480,frog
481,cat
482,plane
483,ship
484,cat
485,ship
486,bird
487,cat
488,ship
489,ship
490,bird
491,car
492,cat
493,frog
494,frog
495,cat
496,bird
497,plane
498,ship
499,dog
500,bird
501,plane
502,bird
503,plane
504,ship
505,cat
506,cat
507,dog
508,dog
509,car
510,cat
511,frog
512,cat
513,plane
514,bird
515,bird
516,ship
517,bird
518,cat
519,cat
520,cat
521,cat
522,ship
523,ship
524,plane
525,cat
526,ship
527,bird
528,plane
529,frog
530,cat
531,ship
532,cat
533,cat
534,ship
535,cat
536,cat
537,dog
538,ship
539,cat
540,cat
541,bird
542,cat
543,car
544,plane
545,plane
546,bird
547,car
548,ship
549,ship
550,ship
551,ship
552,plane
553,dog
554,car
555,bird
556,dog
557,cat
558,plane
559,car
560,bird
561,cat
562,ship
563,plane
564,cat
565,car
566,plane
567,bird
568,plane
569,bird
570,cat
571,plane
572,cat
573,bird
574,ship
575,ship
576,frog
577,ship
578,frog
579,plane
580,plane
581,frog
582,ship
583,plane
584,cat
585,ship
586,bird
587,ship
588,ship
589,plane
590,frog
591,bird
592,cat
593,cat
594,frog
595,cat
596,ship
